index,Regulator,Target,Sign,Model,Classification,Confidence rank,Constraint,Notes
1721,pertuzumab,HER3_2,negative,BS,replaced,,,"Duplicated from original edge (pertuzumab -> HER3, Model=BS). Original note: Pertuzumab does not act on HER3 but on the HER2-HER3 complex, which is a separate node. This edge is replaced by a Pertuzumab-| HER2HER3c edge."
1722,EGF,ERK_2,positive,BS,indirect,2,,"Duplicated from original edge (EGF -> ERK, Model=BS). Original note: causal effect mediated by EGFR, RAS, RAF, MEK"
1723,ERK,ERK_2,positive,BS,,0,necessary,Reaching a higher level necessitates achieving the lower level first.
1724,ERK_2,ERK,positive,BS,unsupported,-,,High-level should not activate low-level.
1725,ERK_2,ERK_2,positive,BS,unsupported,-,,This proteomics- inferred self-regulation is contradicted by the fact that ERK activity is strongly self-limiting via negative feedback loops.
1726,MEK,ERK_2,positive,BS,direct,1,,"Duplicated from original edge (MEK -> ERK, Model=BS). Original note: phosphorylation. MEK1/2 directly binds and phosphorylates ERK1/2, activating its kinase activity."
1727,MEK_2,ERK,positive,BS,direct,1,,"Duplicated from original edge (MEK -> ERK, Model=BS). Original note: phosphorylation. MEK1/2 directly binds and phosphorylates ERK1/2, activating its kinase activity."
1728,MEK_2,ERK_2,positive,BS,direct,1,,"Duplicated from original edge (MEK -> ERK, Model=BS). Original note: phosphorylation. MEK1/2 directly binds and phosphorylates ERK1/2, activating its kinase activity."
1729,pertuzumab,ERK_2,positive,BS,indirect,2,,"Duplicated from original edge (pertuzumab -> ERK, Model=BS). Original note: causal effect. Inhibition of MAPK signaling is an established downstream consequence of pertuzumab-mediated HER2 blockade"
1730,EGFR,MEK_2,positive,BS,indirect,2,,"Duplicated from original edge (EGFR -> MEK, Model=BS). Original note: causal effect mediated by RAS, RAF"
1731,HER2,MEK_2,positive,BS,indirect,2,,"Duplicated from original edge (HER2 -> MEK, Model=BS). Original note: causal effect mediated by RAS, RAF"
1732,HER3,MEK_2,positive,BS,indirect,2,,"Duplicated from original edge (HER3 -> MEK, Model=BS). Original note: causal effect mediated by HER2HER3c, RAS, RAF"
1733,HER3_2,MEK,positive,BS,indirect,2,,"Duplicated from original edge (HER3 -> MEK, Model=BS). Original note: causal effect mediated by HER2HER3c, RAS, RAF"
1734,HER3_2,MEK_2,positive,BS,indirect,2,,"Duplicated from original edge (HER3 -> MEK, Model=BS). Original note: causal effect mediated by HER2HER3c, RAS, RAF"
1735,MEK,MEK_2,positive,BS,,0,necessary,Reaching a higher level necessitates achieving the lower level first.
1736,MEK_2,MEK,positive,BS,unsupported,-,,High-level should not activate low-level.
1737,MEK_2,MEK_2,positive,BS,unsupported,-,,This inferred self-regulation is contradicted by evidence of a negative feedback regulation of MEK: ERK phosphorylates MEK1 at Thr292; disruption of this feedback produces increased and prolonged MEK2 and ERK phosphorylation.
1738,HER3_2,PDK1_pm,positive,BS,indirect,2,,"Duplicated from original edge (HER3 -> PDK1_pm, Model=BS). Original note: causal effect mediated by PI3K, PIP3"
1739,MEK_2,PDK1_pm,positive,BS,unsupported,-,,"Duplicated from original edge (MEK -> PDK1_pm, Model=BS). Original note: This inferred edge is contradicted by evidence that a MEK inhibitor did not affect PDK1 phosphorylation."
1740,HER3_2,PLCg,positive,BS,assumption,4,,"Duplicated from original edge (HER3 -> PLCg, Model=BS). Original note: There is evidence for binding but no evidence of a functional effect. Any indirect relationship would need to involve HER2, but there is no causal or mechanistic evidence."
1741,ERK_2,S6K,positive,BS,direct,1,,"Duplicated from original edge (ERK -> S6K, Model=BS). Original note: phosphorylation. ERK phosphorylates S6K, contributing to its activation"
1742,HER3,HER2HER3c_2,positive,BS,,0,,"Duplicated from original edge (HER3 -> HER2HER3c, Model=BS). Original note: Replaces HER3 -> HER2. This edge represents HER3's participation in the HER2HER3c heterodimer complex."
1743,HER3_2,HER2HER3c,positive,BS,,0,,"Duplicated from original edge (HER3 -> HER2HER3c, Model=BS). Original note: Replaces HER3 -> HER2. This edge represents HER3's participation in the HER2HER3c heterodimer complex."
1744,HER3_2,HER2HER3c_2,positive,BS,,0,,"Duplicated from original edge (HER3 -> HER2HER3c, Model=BS). Original note: Replaces HER3 -> HER2. This edge represents HER3's participation in the HER2HER3c heterodimer complex."
1745,pertuzumab,HER2HER3c_2,negative,BS,direct,1,,"Duplicated from original edge (pertuzumab -> HER2HER3c, Model=BS). Original note: Replaces pertuzumab -| HER3. Pertuzumab inhibits HER3's ability to heterodimerize with HER2, thus it inhibits the HER2-HER3 complex."
1746,HER3_2,AKT,positive,HL,indirect,2,,"Duplicated from original edge (HER3 -> AKT, Model=HL). Original note: causal effect mediated by PI3K, others"
1747,PTEN_2,AKT,negative,HL,indirect,2,,"Duplicated from original edge (PTEN -> AKT, Model=HL). Original note: causal effect mediated by PIP3"
1748,AKT,CyclinD_2,positive,HL,indirect,2,,"Duplicated from original edge (AKT -> CyclinD, Model=HL). Original note: causal effect mediated by GSK3B"
1749,CyclinD,CyclinD_2,positive,HL,,0,necessary,Reaching a higher level necessitates achieving the lower level first.
1750,CyclinD_2,CyclinD,positive,HL,unsupported,-,,High-level should not activate low-level.
1751,CyclinD_2,CyclinD_2,positive,HL,unsupported,-,,This inferred self-regulation is not supported by experimental evidence of self-regulation or a positive feedback loop.
1752,ERK,CyclinD_2,positive,HL,indirect,2,,"Duplicated from original edge (ERK -> CyclinD, Model=HL). Original note: causal effect mediated by JUN and other transcription factors that upregulate CCND1 transcription."
1753,ERK_2,CyclinD,positive,HL,indirect,2,,"Duplicated from original edge (ERK -> CyclinD, Model=HL). Original note: causal effect mediated by JUN and other transcription factors that upregulate CCND1 transcription."
1754,ERK_2,CyclinD_2,positive,HL,indirect,2,,"Duplicated from original edge (ERK -> CyclinD, Model=HL). Original note: causal effect mediated by JUN and other transcription factors that upregulate CCND1 transcription."
1755,JUN,CyclinD_2,positive,HL,direct,1,,"Duplicated from original edge (JUN -> CyclinD, Model=HL). Original note: regulation of transcription. c-JUN is part of the AP-1 transcription factor complex and directly binds an AP-1-responsive element in the CCND1 promoter, promoting Cyclin D1 transcription."
1756,S6K,CyclinD_2,positive,HL,indirect,2,,"Duplicated from original edge (S6K -> CyclinD, Model=HL). Original note: causal effect on the translation of Cyclin D, mediated by EIF4"
1757,HER3_2,EGFR,positive,HL,direct,1,,"Duplicated from original edge (HER3 -> EGFR, Model=HL). Original note: protein-protein interaction; heterodimerization activates EGFR"
1758,HER3,HER3_2,positive,HL,,0,necessary,Reaching a higher level necessitates achieving the lower level first.
1759,HER3_2,HER3,positive,HL,unsupported,-,,High-level should not activate low-level.
1760,HER3_2,HER3_2,positive,HL,unsupported,-,,"HER3 does not self-regulate. This inferred positive self-regulation contradicted by strong evidence of a negative feedback loop mediated by PI3K, AKT, and FOXO3."
1761,RPS6,HER3_2,positive,HL,unsupported,-,,"Duplicated from original edge (RPS6 -> HER3, Model=HL). Original note: This proteomics-inferred edge is contradicted by the known negative mTORC1-to-HER3 feedback effect."
1762,erlotinib,HER3_2,negative,HL,indirect,2,,"Duplicated from original edge (erlotinib -> HER3, Model=HL). Original note: causal effect mediated by HER2 or another kinase"
1763,pertuzumab,HER3_2,negative,HL,replaced,,,"Duplicated from original edge (pertuzumab -> HER3, Model=HL). Original note: Pertuzumab does not act on HER3 but on the HER2-HER3 complex, which is a separate node. This edge is replaced by a Pertuzumab-| HER2HER3c edge."
1764,stimulus,HER3_2,positive,HL,correlation,3,,"Duplicated from original edge (stimulus -> HER3, Model=HL). Original note: This proteomics-inferred edge is consistent with evidence that growth factors in a growth medium lead to HER3 activation"
1765,EGFR,ERK_2,positive,HL,indirect,2,,"Duplicated from original edge (EGFR -> ERK, Model=HL). Original note: causal effect mediated by SOS/GRB, RAS, RAF, MEK"
1766,ERK,ERK_2,positive,HL,,0,necessary,Reaching a higher level necessitates achieving the lower level first.
1767,ERK_2,ERK,positive,HL,unsupported,-,,High-level should not activate low-level.
1768,ERK_2,ERK_2,positive,HL,unsupported,-,,This proteomics- inferred self-regulation is contradicted by the fact that ERK activity is strongly self-limiting via negative feedback loops.
1769,RAF1,ERK_2,positive,HL,indirect,2,,"Duplicated from original edge (RAF1 -> ERK, Model=HL). Original note: causal effect mediated by MEK"
1770,RAF1_2,ERK,positive,HL,indirect,2,,"Duplicated from original edge (RAF1 -> ERK, Model=HL). Original note: causal effect mediated by MEK"
1771,RAF1_2,ERK_2,positive,HL,indirect,2,,"Duplicated from original edge (RAF1 -> ERK, Model=HL). Original note: causal effect mediated by MEK"
1772,GSK3B,PTEN_2,negative,HL,direct,1,,"Duplicated from original edge (GSK3B -> PTEN, Model=HL). Original note: phosphorylation. GSK3B phosphorylates PTEN, yielding reduced PTEN stability / enhanced PTEN degradation."
1773,PTEN,PTEN_2,positive,HL,,0,necessary,Reaching a higher level necessitates achieving the lower level first.
1774,PTEN_2,PTEN,positive,HL,unsupported,-,,High-level should not activate low-level.
1775,PTEN_2,PTEN_2,positive,HL,indirect,2,,"PTEN promotes its own stability via a positive feedback loop mediated by AKT, FOXO, USP11."
1776,RAF1,PTEN_2,positive,HL,unsupported,-,,"Duplicated from original edge (RAF1 -> PTEN, Model=HL). Original note: This inferred edge is contradicted by the observation that MEK inhibition can increase PTEN expression, while constitutive MAPK signaling is associated with reduced PTEN."
1777,RAF1_2,PTEN,positive,HL,unsupported,-,,"Duplicated from original edge (RAF1 -> PTEN, Model=HL). Original note: This inferred edge is contradicted by the observation that MEK inhibition can increase PTEN expression, while constitutive MAPK signaling is associated with reduced PTEN."
1778,RAF1_2,PTEN_2,positive,HL,unsupported,-,,"Duplicated from original edge (RAF1 -> PTEN, Model=HL). Original note: This inferred edge is contradicted by the observation that MEK inhibition can increase PTEN expression, while constitutive MAPK signaling is associated with reduced PTEN."
1779,ERK_2,TSC2,negative,HL,direct in the network sense,1,,"Duplicated from original edge (ERK -> TSC2, Model=HL). Original note: ERK phosphorylates RSK, which phosphorylates TSC2 at inhibitory sites such as Ser1798. RSK is not in the network."
1780,EGFR,RAF1_2,positive,HL,indirect,2,,"Duplicated from original edge (EGFR -> RAF1, Model=HL). Original note: causal effect mediated by SOS/GRB and RAS"
1781,HER2,RAF1_2,positive,HL,indirect,2,,"Duplicated from original edge (HER2 -> RAF1, Model=HL). Original note: causal effect mediated by adaptor proteins and RAS"
1782,ERK,RAF1_2,negative,HL,direct,1,,"Duplicated from original edge (ERK -> RAF1, Model=HL). Original note: phosphorylation. ERK1/2 phosphorylates RAF1/C-RAF at inhibitory regulatory sites. These phosphorylations promote an inhbited RAF1 state."
1783,ERK_2,RAF1,negative,HL,direct,1,,"Duplicated from original edge (ERK -> RAF1, Model=HL). Original note: phosphorylation. ERK1/2 phosphorylates RAF1/C-RAF at inhibitory regulatory sites. These phosphorylations promote an inhbited RAF1 state."
1784,ERK_2,RAF1_2,negative,HL,direct,1,,"Duplicated from original edge (ERK -> RAF1, Model=HL). Original note: phosphorylation. ERK1/2 phosphorylates RAF1/C-RAF at inhibitory regulatory sites. These phosphorylations promote an inhbited RAF1 state."
1785,RAF1,RAF1_2,positive,HL,,0,necessary,Reaching a higher level necessitates achieving the lower level first.
1786,RAF1_2,RAF1,positive,HL,unsupported,-,,High-level should not activate low-level.
1787,RAF1_2,RAF1_2,positive,HL,unsupported,-,,This inferred self-activation is contradicted by the strongly supported RAF1 self-limiting circuit via MEK and ERK.
1788,ERK_2,S6K,positive,HL,direct,1,,"Duplicated from original edge (ERK -> S6K, Model=HL). Original note: phosphorylation. ERK phosphorylates S6K, contributing to its activation"
1789,pertuzumab,HER2HER3c_2,negative,HL,direct,1,,"Duplicated from original edge (pertuzumab -> HER2HER3c, Model=HL). Original note: Replaces pertuzumab -| HER3. Pertuzumab inhibits HER3's ability to heterodimerize with HER2, thus it inhibits the HER2-HER3 complex."
1790,HER3_2,AKT,positive,HS,indirect,2,,"Duplicated from original edge (HER3 -> AKT, Model=HS). Original note: causal effect mediated by PI3K, others"
1791,HER3,HER3_2,positive,HS,,0,necessary,Reaching a higher level necessitates achieving the lower level first.
1792,HER3_2,HER3,positive,HS,unsupported,-,,High-level should not activate low-level.
1793,HER3_2,HER3_2,positive,HS,unsupported,-,,"HER3 does not self-regulate. This inferred positive self-regulation contradicted by strong evidence of a negative feedback loop mediated by PI3K, AKT, and FOXO3."
1794,ERK,HER3_2,positive,HS,unsupported,-,,"Duplicated from original edge (ERK -> HER3, Model=HS). Original note: there is no evidence for a positive relationship; a negative feedback effect is known"
1795,ERK_2,HER3,positive,HS,unsupported,-,,"Duplicated from original edge (ERK -> HER3, Model=HS). Original note: there is no evidence for a positive relationship; a negative feedback effect is known"
1796,ERK_2,HER3_2,positive,HS,unsupported,-,,"Duplicated from original edge (ERK -> HER3, Model=HS). Original note: there is no evidence for a positive relationship; a negative feedback effect is known"
1797,NRG1,HER3_2,positive,HS,direct,1,,"Duplicated from original edge (NRG1 -> HER3, Model=HS). Original note: ligand-receptor binding"
1798,erlotinib,HER3_2,negative,HS,indirect,2,,"Duplicated from original edge (erlotinib -> HER3, Model=HS). Original note: causal effect mediated by HER2 or another kinase"
1799,pertuzumab,HER3_2,negative,HS,replaced,,,"Duplicated from original edge (pertuzumab -> HER3, Model=HS). Original note: Pertuzumab does not act on HER3 but on the HER2-HER3 complex, which is a separate node. This edge is replaced by a Pertuzumab-| HER2HER3c edge."
1800,ERK,ERK_2,positive,HS,,0,necessary,Reaching a higher level necessitates achieving the lower level first.
1801,ERK_2,ERK,positive,HS,unsupported,-,,High-level should not activate low-level.
1802,ERK_2,ERK_2,positive,HS,unsupported,-,,This proteomics- inferred self-regulation is contradicted by the fact that ERK activity is strongly self-limiting via negative feedback loops.
1803,MEK,ERK_2,positive,HS,direct,1,,"Duplicated from original edge (MEK -> ERK, Model=HS). Original note: phosphorylation. MEK1/2 directly binds and phosphorylates ERK1/2, activating its kinase activity."
1804,MEK_2,ERK,positive,HS,direct,1,,"Duplicated from original edge (MEK -> ERK, Model=HS). Original note: phosphorylation. MEK1/2 directly binds and phosphorylates ERK1/2, activating its kinase activity."
1805,MEK_2,ERK_2,positive,HS,direct,1,,"Duplicated from original edge (MEK -> ERK, Model=HS). Original note: phosphorylation. MEK1/2 directly binds and phosphorylates ERK1/2, activating its kinase activity."
1806,EGFR,MEK_2,positive,HS,indirect,2,,"Duplicated from original edge (EGFR -> MEK, Model=HS). Original note: causal effect mediated by RAS, RAF"
1807,HER2,MEK_2,positive,HS,indirect,2,,"Duplicated from original edge (HER2 -> MEK, Model=HS). Original note: causal effect mediated by RAS, RAF"
1808,HER3,MEK_2,positive,HS,indirect,2,,"Duplicated from original edge (HER3 -> MEK, Model=HS). Original note: causal effect mediated by HER2HER3c, RAS, RAF"
1809,HER3_2,MEK,positive,HS,indirect,2,,"Duplicated from original edge (HER3 -> MEK, Model=HS). Original note: causal effect mediated by HER2HER3c, RAS, RAF"
1810,HER3_2,MEK_2,positive,HS,indirect,2,,"Duplicated from original edge (HER3 -> MEK, Model=HS). Original note: causal effect mediated by HER2HER3c, RAS, RAF"
1811,MEK,MEK_2,positive,HS,,0,necessary,Reaching a higher level necessitates achieving the lower level first.
1812,MEK_2,MEK,positive,HS,unsupported,-,,High-level should not activate low-level.
1813,MEK_2,MEK_2,positive,HS,unsupported,-,,This inferred self-regulation is contradicted by evidence of a negative feedback regulation of MEK: ERK phosphorylates MEK1 at Thr292; disruption of this feedback produces increased and prolonged MEK2 and ERK phosphorylation.
1814,PDK1_pm,MEK_2,positive,HS,direct,1,,"Duplicated from original edge (PDK1_pm -> MEK, Model=HS). Original note: phosphorylation. PDK1 phosphorylates MEK1 and MEK2"
1815,HER3_2,PDK1_pm,positive,HS,indirect,2,,"Duplicated from original edge (HER3 -> PDK1_pm, Model=HS). Original note: causal effect mediated by PI3K, PIP3"
1816,HER3_2,PLCg,positive,HS,assumption,4,,"Duplicated from original edge (HER3 -> PLCg, Model=HS). Original note: There is evidence for binding but no evidence of a functional effect. Any indirect relationship would need to involve HER2, but there is no causal or mechanistic evidence."
1817,ERK_2,S6K,positive,HS,direct,1,,"Duplicated from original edge (ERK -> S6K, Model=HS). Original note: phosphorylation. ERK phosphorylates S6K, contributing to its activation"
1818,pertuzumab,HER2HER3c_2,negative,HS,direct,1,,"Duplicated from original edge (pertuzumab -> HER2HER3c, Model=HS). Original note: Replaces pertuzumab -| HER3. Pertuzumab inhibits HER3's ability to heterodimerize with HER2, thus it inhibits the HER2-HER3 complex."
1819,IGF1R_2,AKT,positive,MCF7,indirect,2,,"Duplicated from original edge (IGF1R -> AKT, Model=MCF7). Original note: causal effect mediated by IRS1, PI3K"
1820,PIP3_2,AKT,positive,MCF7,direct,1,,"Duplicated from original edge (PIP3 -> AKT, Model=MCF7). Original note: protein-protein interaction. PIP3 directly binds the PH domain of AKT, recruiting AKT to the plasma membrane and inducing conformational changes that expose its activating phosphorylation sites"
1821,ERK_2,BAD,negative,MCF7,direct in the network sense,1,,"Duplicated from original edge (ERK -> BAD, Model=MCF7). Original note: phosphorylation. ERK1/2 phosphorylate RSK, which phosphorylates BAD, which leads to its sequestration by 14-3-3 proteins, making it unable to inhibit BCLXL, BCL2. RSK is not in the network."
1822,ERK_2,BCL2,positive,MCF7,direct,1,,"Duplicated from original edge (ERK -> BCL2, Model=MCF7). Original note: phosphorylation. ERK1/2 phosphorylate BCL2 at Ser70. This phosphorylation enhances BCL2's anti-apoptotic function."
1823,ERK_2,CASP8,negative,MCF7,direct,1,,"Duplicated from original edge (ERK -> CASP8, Model=MCF7). Original note: phosphorylation. Active ERK1/2 directly phosphorylates procaspase-8 at Ser387, and this phosphorylation inhibits caspase-8 activation/processing."
1824,ERK_2,CASP9,negative,MCF7,direct,1,,"Duplicated from original edge (ERK -> CASP9, Model=MCF7). Original note: phosphorylation. ERK1/2 directly binds and phosphorylates caspase-9 at Thr125, inhibiting its activation/activity."
1825,MYC_2,CDKN2A,negative,MCF7,indirect,2,,"Duplicated from original edge (MYC -> CDKN2A, Model=MCF7). Original note: causal effect. MYC can suppress the p16/RB senescence program in proliferating cells through several mechanisms, and MYC loss can lead to increased p16 expression and senescence."
1826,PTEN_2,CREB1,negative,MCF7,direct,1,,"Duplicated from original edge (PTEN -> CREB1, Model=MCF7). Original note: dephosphorylation. Nuclear PTEN dephosphorylates CREB at Ser133, which decreases its transcriptional activity."
1827,CDKN2A,CYCLINDc_2,negative,MCF7,direct,1,,"Duplicated from original edge (CDKN2A -> CYCLINDc, Model=MCF7). Original note: protein-protein interaction. CDKN2A (p16INK4A)  binds CDK4 and CDK6 and prevents/antagonizes formation of functional Cyclin D–CDK4/6 complexes."
