index,Regulator,Target,Sign,Model
149,erlotinib,HER2,negative,BS
150,pertuzumab,HER2,negative,BS
151,trastuzumab,HER2,negative,BS
152,HER3,HER3,positive,BS
153,NRG1,HER3,positive,BS
154,erlotinib,HER3,negative,BS
155,pertuzumab,HER3,negative,BS
156,EGF,ERK,positive,BS
157,ERK,ERK,positive,BS
158,MEK,ERK,positive,BS
159,pertuzumab,ERK,positive,BS
160,EGFR,MEK,positive,BS
161,HER2,MEK,positive,BS
162,HER3,MEK,positive,BS
163,MEK,MEK,positive,BS
164,EGFR,PDK1_pm,positive,BS
165,HER2,PDK1_pm,positive,BS
166,HER3,PDK1_pm,positive,BS
167,MEK,PDK1_pm,positive,BS
168,PDK1_pm,PDK1_pm,positive,BS
169,PKCa,PKCa,positive,BS
170,PLCg,PKCa,positive,BS
171,EGF,PLCg,positive,BS
172,EGFR,PLCg,positive,BS
173,HER2,PLCg,positive,BS
174,HER3,PLCg,positive,BS
175,PLCg,PLCg,positive,BS
176,AKT,mTORC1,positive,BS
177,mTORC1,mTORC1,positive,BS
178,pertuzumab,mTORC1,positive,BS
179,AKT,S6K,positive,BS
180,ERK,S6K,positive,BS
181,mTORC1,S6K,positive,BS
182,S6K,S6K,positive,BS
183,AKT,AKT,positive,HS
184,HER3,AKT,positive,HS
185,PDK1_pm,AKT,positive,HS
186,mTORC1,AKT,positive,HS
187,S6K,AKT,positive,HS
188,EGF,EGFR,positive,HS
189,EGFR,EGFR,positive,HS
190,PLCg,EGFR,positive,HS
191,erlotinib,EGFR,negative,HS
192,pertuzumab,EGFR,negative,HS
193,EGFR,HER2,positive,HS
194,HER2,HER2,positive,HS
195,PDK1_pm,HER2,positive,HS
196,erlotinib,HER2,negative,HS
197,pertuzumab,HER2,negative,HS
198,trastuzumab,HER2,negative,HS
199,HER3,HER3,positive,HS
200,ERK,HER3,positive,HS
201,NRG1,HER3,positive,HS
202,erlotinib,HER3,negative,HS
203,pertuzumab,HER3,negative,HS
204,ERK,ERK,positive,HS
205,MEK,ERK,positive,HS
206,EGFR,MEK,positive,HS
207,HER2,MEK,positive,HS
208,HER3,MEK,positive,HS
209,MEK,MEK,positive,HS
210,PDK1_pm,MEK,positive,HS
211,EGFR,PDK1_pm,positive,HS
212,HER2,PDK1_pm,positive,HS
213,HER3,PDK1_pm,positive,HS
214,PDK1_pm,PDK1_pm,positive,HS
215,PKCa,PKCa,positive,HS
216,PLCg,PKCa,positive,HS
217,trastuzumab,PKCa,positive,HS
218,EGFR,PLCg,positive,HS
219,HER2,PLCg,positive,HS
220,HER3,PLCg,positive,HS
221,PLCg,PLCg,positive,HS
222,AKT,mTORC1,positive,HS
223,mTORC1,mTORC1,positive,HS
224,AKT,S6K,positive,HS
225,ERK,S6K,positive,HS
226,erlotinib,S6K,positive,HS
227,mTORC1,S6K,positive,HS
228,S6K,S6K,positive,HS
229,AKT,AKT,positive,SS
230,HER3,AKT,positive,SS
231,PDK1_pm,AKT,positive,SS
232,mTORC1,AKT,positive,SS
233,EGF,EGFR,positive,SS
234,EGFR,EGFR,positive,SS
235,PLCg,EGFR,positive,SS
236,erlotinib,EGFR,negative,SS
237,pertuzumab,EGFR,negative,SS
238,HER2,HER2,positive,SS
239,erlotinib,HER2,negative,SS
240,pertuzumab,HER2,negative,SS
241,trastuzumab,HER2,negative,SS
242,HER3,HER3,positive,SS
243,NRG1,HER3,positive,SS
244,erlotinib,HER3,negative,SS
245,pertuzumab,HER3,negative,SS
246,HER3,ERK,positive,SS
247,ERK,ERK,positive,SS
248,MEK,ERK,positive,SS
249,PDK1_pm,ERK,positive,SS
250,EGFR,MEK,positive,SS
251,HER2,MEK,positive,SS
252,HER3,MEK,positive,SS
253,MEK,MEK,positive,SS
254,EGFR,PDK1_pm,positive,SS
255,HER2,PDK1_pm,positive,SS
256,HER3,PDK1_pm,positive,SS
257,PDK1_pm,PDK1_pm,positive,SS
258,PKCa,PKCa,positive,SS
259,PLCg,PKCa,positive,SS
260,EGFR,PLCg,positive,SS
261,HER2,PLCg,positive,SS
262,HER3,PLCg,positive,SS
263,PLCg,PLCg,positive,SS
264,AKT,mTORC1,positive,SS
265,mTORC1,mTORC1,positive,SS
266,AKT,S6K,positive,SS
267,ERK,S6K,positive,SS
268,mTORC1,S6K,positive,SS
269,S6K,S6K,positive,SS
270,AKT,AKT,positive,SL
271,CyclinB1,AKT,negative,SL
272,EGFR,AKT,positive,SL
273,HER2,AKT,positive,SL
274,HER3,AKT,positive,SL
275,PTEN,AKT,negative,SL
276,stimulus,AKT,positive,SL
277,BAX,BAX,positive,SL
278,EGFR,BAX,positive,SL
279,CyclinB1,CyclinB1,positive,SL
280,p53,CyclinB1,negative,SL
281,S6K,CyclinB1,positive,SL
282,AKT,CyclinD,positive,SL
283,CyclinD,CyclinD,positive,SL
284,ERK,CyclinD,positive,SL
285,GSK3B,CyclinD,negative,SL
286,PTEN,CyclinD,positive,SL
287,JUN,CyclinD,positive,SL
288,EGFR,EGFR,positive,SL
289,erlotinib,EGFR,negative,SL
290,pertuzumab,EGFR,negative,SL
291,stimulus,EGFR,positive,SL
292,BAX,HER2,positive,SL
293,HER2,HER2,positive,SL
294,erlotinib,HER2,negative,SL
295,pertuzumab,HER2,negative,SL
296,stimulus,HER2,positive,SL
297,trastuzumab,HER2,negative,SL
298,AKT,HER3,negative,SL
299,HER3,HER3,positive,SL
300,erlotinib,HER3,negative,SL
301,pertuzumab,HER3,negative,SL
302,stimulus,HER3,positive,SL
303,CyclinB1,ERK,positive,SL
304,EGFR,ERK,positive,SL
305,ERK,ERK,positive,SL
306,RAF1,ERK,positive,SL
307,AKT,FOXO1FOXO3,negative,SL
308,FOXO1FOXO3,FOXO1FOXO3,positive,SL
309,GSK3B,GSK3B,positive,SL
310,p53,GSK3B,positive,SL
311,HER3,NFKB,positive,SL
312,NFKB,NFKB,positive,SL
313,RPS6,NFKB,positive,SL
314,AKT,PRAS40,negative,SL
315,HER3,PRAS40,positive,SL
316,PRAS40,PRAS40,positive,SL
317,GSK3B,PTEN,negative,SL
318,PTEN,PTEN,positive,SL
319,S6K,PTEN,positive,SL
320,CyclinD,RB,negative,SL
321,HER2,RB,positive,SL
322,RB,RB,positive,SL
323,TSC2,RB,negative,SL
324,p53,RB,negative,SL
325,RPS6,RPS6,positive,SL
326,S6K,RPS6,positive,SL
327,AKT,TSC2,negative,SL
328,HER2,TSC2,positive,SL
329,ERK,TSC2,negative,SL
330,GSK3B,TSC2,negative,SL
331,TSC2,TSC2,positive,SL
332,GSK3B,JUN,negative,SL
333,JUN,JUN,positive,SL
334,EGFR,RAF1,positive,SL
335,HER2,RAF1,positive,SL
336,ERK,RAF1,negative,SL
337,RPS6,RAF1,positive,SL
338,RAF1,RAF1,positive,SL
339,p53,RAF1,negative,SL
340,AKT,p38,positive,SL
341,p38,p38,positive,SL
342,CyclinB1,p53,positive,SL
343,PTEN,p53,positive,SL
344,RB,p53,positive,SL
345,p53,p53,positive,SL
346,HER2,S6K,positive,SL
347,ERK,S6K,positive,SL
348,PRAS40,S6K,negative,SL
349,TSC2,S6K,negative,SL
350,S6K,S6K,positive,SL
351,Ipatasertib,AKT,negative,Z17
352,PDK1_pm,AKT,positive,Z17
353,PIP3,AKT,positive,Z17
354,PIP3_2,AKT,positive,Z17
355,mTORC2_pm,AKT,positive,Z17
356,Apoptosis,Apoptosis,positive,Z17
357,BAD,Apoptosis,positive,Z17
358,BCL2,Apoptosis,negative,Z17
359,BIM,Apoptosis,positive,Z17
360,MCL1,Apoptosis,negative,Z17
361,Apoptosis_2,Apoptosis_2,positive,Z17
362,BAD,Apoptosis_2,positive,Z17
363,BCL2,Apoptosis_2,negative,Z17
364,BIM,Apoptosis_2,positive,Z17
365,MCL1,Apoptosis_2,negative,Z17
366,Apoptosis_3,Apoptosis_3,positive,Z17
367,BAD,Apoptosis_3,positive,Z17
368,BCL2,Apoptosis_3,negative,Z17
369,BIM,Apoptosis_3,positive,Z17
370,MCL1,Apoptosis_3,negative,Z17
371,AKT,BAD,negative,Z17
372,MAPK,BAD,negative,Z17
373,MAPK_2,BAD,negative,Z17
374,PIM,BAD,negative,Z17
375,BCL2_T,BCL2,positive,Z17
376,ER_transcription_2,BCL2,positive,Z17
377,BIM_T,BIM,positive,Z17
378,FOXO3,BIM,positive,Z17
379,MAPK_2,BIM,negative,Z17
380,Palbociclib,CDK46,negative,Z17
381,E2F_2,E2F,positive,Z17
382,E2F_3,E2F,positive,Z17
383,pRB,E2F,positive,Z17
384,E2F,E2F_2,positive,Z17
385,E2F_3,E2F_2,positive,Z17
386,pRB_2,E2F_2,positive,Z17
387,E2F,E2F_3,positive,Z17
388,E2F_2,E2F_3,positive,Z17
389,E2F_3,E2F_3,positive,Z17
390,pRB_2,E2F_3,positive,Z17
391,pRB_3,E2F_3,positive,Z17
392,mTORC1,EIF4,positive,Z17
393,ER,ER_transcription,positive,Z17
394,ER_transcription_2,ER_transcription,positive,Z17
395,ESR1,ER_transcription,positive,Z17
396,ESR1_2,ER_transcription,positive,Z17
397,ER,ER_transcription_2,positive,Z17
398,ER_transcription,ER_transcription_2,positive,Z17
399,ESR1_2,ER_transcription_2,positive,Z17
400,FOXA1,ER_transcription_2,positive,Z17
401,KMT2D,ER_transcription_2,positive,Z17
402,PBX1,ER_transcription_2,positive,Z17
403,ER,ESR1,positive,Z17
404,ESR1_2,ESR1,positive,Z17
405,FOXO3,ESR1,positive,Z17
406,Fulvestrant,ESR1,negative,Z17
407,ER,ESR1_2,positive,Z17
408,ESR1,ESR1_2,positive,Z17
409,FOXO3,ESR1_2,positive,Z17
410,Fulvestrant,ESR1_2,negative,Z17
411,FOXO3,FOXA1,positive,Z17
412,AKT,FOXO3,negative,Z17
413,FOXO3_Ub,FOXO3,negative,Z17
414,PIM,FOXO3,negative,Z17
415,SGK1,FOXO3,negative,Z17
416,MAPK_2,FOXO3_Ub,positive,Z17
417,HER2,HER2HER3c,positive,Z17
418,HER2HER3c_2,HER2HER3c,positive,Z17
419,HER3,HER2HER3c,positive,Z17
420,HER3_2,HER2HER3c,positive,Z17
421,Neratinib,HER2HER3c,negative,Z17
422,HER2,HER2HER3c_2,positive,Z17
423,HER2HER3c,HER2HER3c_2,positive,Z17
424,HER3,HER2HER3c_2,positive,Z17
425,HER3_2,HER2HER3c_2,positive,Z17
426,MAPK_2,HER2HER3c_2,negative,Z17
427,Neratinib,HER2HER3c_2,negative,Z17
428,FOXO3,HER3,positive,Z17
429,HER3_2,HER3,positive,Z17
430,HER3_T,HER3,positive,Z17
431,FOXO3,HER3_2,positive,Z17
432,HER3,HER3_2,positive,Z17
433,FOXO3,IGF1R,positive,Z17
434,HER2,IGF1R,positive,Z17
435,IGF1R_2,IGF1R,positive,Z17
436,IGF1R_T,IGF1R,positive,Z17
437,FOXO3,IGF1R_2,positive,Z17
438,HER2,IGF1R_2,positive,Z17
439,IGF1R,IGF1R_2,positive,Z17
440,IGF1R_T,IGF1R_2,positive,Z17
441,S6K,IGF1R_2,negative,Z17
442,AKT,KMT2D,negative,Z17
443,MAPK_2,MAPK,positive,Z17
444,PIP3,MAPK,positive,Z17
445,PIP3_2,MAPK,positive,Z17
446,RAS,MAPK,positive,Z17
447,RAS_2,MAPK,positive,Z17
448,RAS_3,MAPK,positive,Z17
449,Trametinib,MAPK,negative,Z17
450,MAPK,MAPK_2,positive,Z17
451,PIP3,MAPK_2,positive,Z17
452,PIP3_2,MAPK_2,positive,Z17
453,RAS_2,MAPK_2,positive,Z17
454,RAS_3,MAPK_2,positive,Z17
455,Trametinib,MAPK_2,negative,Z17
456,Translation,MCL1,positive,Z17
457,ER_transcription,MYC,positive,Z17
458,MYC_2,MYC,positive,Z17
459,ER_transcription_2,MYC_2,positive,Z17
460,MYC,MYC_2,positive,Z17
461,PIP3,PDK1_pm,positive,Z17
462,PIP3_2,PDK1_pm,positive,Z17
463,Alpelisib,PI3K,negative,Z17
464,HER2HER3c,PI3K,positive,Z17
465,HER2HER3c_2,PI3K,positive,Z17
466,IGF1R,PI3K,positive,Z17
467,IGF1R_2,PI3K,positive,Z17
468,PI3K_2,PI3K,positive,Z17
469,RAS,PI3K,positive,Z17
470,RAS_2,PI3K,positive,Z17
471,RAS_3,PI3K,positive,Z17
472,Alpelisib,PI3K_2,negative,Z17
473,HER2HER3c_2,PI3K_2,positive,Z17
474,PI3K,PI3K_2,positive,Z17
475,PI3K,PIP3,positive,Z17
476,PI3K_2,PIP3,positive,Z17
477,PIP3_2,PIP3,positive,Z17
478,PTEN,PIP3,negative,Z17
479,PI3K_2,PIP3_2,positive,Z17
480,PIP3,PIP3_2,positive,Z17
481,PTEN,PIP3_2,negative,Z17
482,AKT,PRAS40,negative,Z17
483,PIM,PRAS40,negative,Z17
484,E2F,Proliferation,positive,Z17
485,E2F_2,Proliferation,positive,Z17
486,E2F_3,Proliferation,positive,Z17
487,Translation,Proliferation,positive,Z17
488,E2F_2,Proliferation_2,positive,Z17
489,E2F_3,Proliferation_2,positive,Z17
490,Translation,Proliferation_2,positive,Z17
491,E2F_2,Proliferation_3,positive,Z17
492,E2F_3,Proliferation_3,positive,Z17
493,Translation,Proliferation_3,positive,Z17
494,E2F_3,Proliferation_4,positive,Z17
495,Translation,Proliferation_4,positive,Z17
496,HER2HER3c,RAS,positive,Z17
497,HER2HER3c_2,RAS,positive,Z17
498,IGF1R,RAS,positive,Z17
499,IGF1R_2,RAS,positive,Z17
500,RAS_2,RAS,positive,Z17
501,RAS_3,RAS,positive,Z17
502,HER2HER3c,RAS_2,positive,Z17
503,HER2HER3c_2,RAS_2,positive,Z17
504,RAS,RAS_2,positive,Z17
505,RAS_3,RAS_2,positive,Z17
506,HER2HER3c_2,RAS_3,positive,Z17
507,RAS,RAS_3,positive,Z17
508,RAS_2,RAS_3,positive,Z17
509,mTORC1,S6K,positive,Z17
510,PDK1,SGK1,positive,Z17
511,SGK1_T,SGK1,positive,Z17
512,mTORC2,SGK1,positive,Z17
513,AKT,TSC2,negative,Z17
514,MAPK_2,TSC2,negative,Z17
515,SGK1,TSC2,negative,Z17
516,EIF4,Translation,positive,Z17
517,S6K,Translation,positive,Z17
518,CDK46,CYCLINDc,positive,Z17
519,CYCLINDc_2,CYCLINDc,positive,Z17
520,CyclinD,CYCLINDc,positive,Z17
521,CyclinD_2,CYCLINDc,positive,Z17
522,CDK46,CYCLINDc_2,positive,Z17
523,CYCLINDc,CYCLINDc_2,positive,Z17
524,CyclinD_2,CYCLINDc_2,positive,Z17
525,cycE_CDK2_T,cycE_CDK2,positive,Z17
526,p21_p27,cycE_CDK2,negative,Z17
527,E2F,cycE_CDK2_T,positive,Z17
528,E2F_2,cycE_CDK2_T,positive,Z17
529,E2F_3,cycE_CDK2_T,positive,Z17
530,MYC,CyclinD,positive,Z17
531,CyclinD_2,CyclinD,positive,Z17
532,MYC_2,CyclinD_2,positive,Z17
533,CyclinD,CyclinD_2,positive,Z17
534,Everolimus,mTORC1,negative,Z17
535,PRAS40,mTORC1,negative,Z17
536,TSC2,mTORC1,negative,Z17
537,Everolimus,mTORC2,negative,Z17
538,mTORC2,mTORC2,positive,Z17
539,Everolimus,mTORC2_pm,negative,Z17
540,PIP3,mTORC2_pm,positive,Z17
541,PIP3_2,mTORC2_pm,positive,Z17
542,AKT,p21_p27,negative,Z17
543,PIM,p21_p27,negative,Z17
544,p21_p27_T,p21_p27,positive,Z17
545,FOXO3,p21_p27_T,positive,Z17
546,MYC,p21_p27_T,negative,Z17
547,MYC_2,p21_p27_T,negative,Z17
548,CYCLINDc,pRB,positive,Z17
549,CYCLINDc_2,pRB,positive,Z17
550,cycE_CDK2,pRB,positive,Z17
551,pRB_2,pRB,positive,Z17
552,pRB_3,pRB,positive,Z17
553,CYCLINDc,pRB_2,positive,Z17
554,CYCLINDc_2,pRB_2,positive,Z17
555,cycE_CDK2,pRB_2,positive,Z17
556,pRB,pRB_2,positive,Z17
557,pRB_3,pRB_2,positive,Z17
558,CYCLINDc_2,pRB_3,positive,Z17
559,cycE_CDK2,pRB_3,positive,Z17
560,pRB,pRB_3,positive,Z17
561,pRB_2,pRB_3,positive,Z17
562,Ipatasertib,AKT,negative,Z21
563,PDK1_pm,AKT,positive,Z21
564,PIP3,AKT,positive,Z21
565,PIP3_2,AKT,positive,Z21
566,mTORC2_pm,AKT,positive,Z21
567,Apoptosis,Apoptosis,positive,Z21
568,BAD,Apoptosis,positive,Z21
569,BIM,Apoptosis,positive,Z21
570,Apoptosis_2,Apoptosis_2,positive,Z21
571,BCL2,Apoptosis_2,negative,Z21
572,BCLXL,Apoptosis_2,negative,Z21
573,MCL1,Apoptosis_2,negative,Z21
574,Apoptosis_3,Apoptosis_3,positive,Z21
575,BCL2,Apoptosis_3,negative,Z21
576,BCLXL,Apoptosis_3,negative,Z21
577,BIM,Apoptosis_3,positive,Z21
578,MCL1,Apoptosis_3,negative,Z21
579,AKT,BAD,negative,Z21
580,MAPK_2,BAD,negative,Z21
581,PIM,BAD,negative,Z21
582,BCL2_T,BCL2,positive,Z21
583,Navitoclax,BCL2,negative,Z21
584,BCLXL_T,BCLXL,positive,Z21
585,Navitoclax,BCLXL,negative,Z21
586,BIM_T,BIM,positive,Z21
587,FOXO3,BIM,positive,Z21
588,MAPK_2,BIM,negative,Z21
589,Palbociclib,CDK46,negative,Z21
590,E2F_2,E2F,positive,Z21
591,pRB,E2F,positive,Z21
592,E2F,E2F_2,positive,Z21
593,pRB_2,E2F_2,positive,Z21
594,mTORC1,EIF4,positive,Z21
595,ER_transcription_2,ER_transcription,positive,Z21
596,ESR1,ER_transcription,positive,Z21
597,ESR1_2,ER_transcription,positive,Z21
598,ER_transcription,ER_transcription_2,positive,Z21
599,ESR1_2,ER_transcription_2,positive,Z21
600,FOXA1,ER_transcription_2,positive,Z21
601,KMT2D,ER_transcription_2,positive,Z21
602,PBX1,ER_transcription_2,positive,Z21
603,ER_transcription_2,ER_transcription_feedback_1,positive,Z21
604,ER_transcription_feedback_1,ER_transcription_feedback_2,positive,Z21
605,ER_transcription_feedback_2,ER_transcription_feedback_2,positive,Z21
606,ER,ESR1,positive,Z21
607,ESR1_2,ESR1,positive,Z21
608,FOXO3,ESR1,positive,Z21
609,Fulvestrant,ESR1,negative,Z21
610,ER,ESR1_2,positive,Z21
611,ES,ESR1_2,positive,Z21
612,ER_transcription_feedback_2,ESR1_2,negative,Z21
613,ESR1,ESR1_2,positive,Z21
614,FOXO3,ESR1_2,positive,Z21
615,Fulvestrant,ESR1_2,negative,Z21
616,AKT,FOXO3,negative,Z21
617,FOXO3_Ub,FOXO3,negative,Z21
618,PIM,FOXO3,negative,Z21
619,SGK1,FOXO3,negative,Z21
620,MAPK_2,FOXO3_Ub,positive,Z21
621,HER2,HER2HER3c,positive,Z21
622,HER2HER3c_2,HER2HER3c,positive,Z21
623,HER3,HER2HER3c,positive,Z21
624,HER3_2,HER2HER3c,positive,Z21
625,Neratinib,HER2HER3c,negative,Z21
626,HER2,HER2HER3c_2,positive,Z21
627,HER2HER3c,HER2HER3c_2,positive,Z21
628,HER3,HER2HER3c_2,positive,Z21
629,HER3_2,HER2HER3c_2,positive,Z21
630,NRG1,HER2HER3c_2,positive,Z21
631,MAPK_2,HER2HER3c_2,negative,Z21
632,Neratinib,HER2HER3c_2,negative,Z21
633,FOXO3,HER3,positive,Z21
634,HER3_2,HER3,positive,Z21
635,HER3_T,HER3,positive,Z21
636,FOXO3,HER3_2,positive,Z21
637,HER3,HER3_2,positive,Z21
638,FOXO3,IGF1R,positive,Z21
639,HER2,IGF1R,positive,Z21
640,IGF1R_2,IGF1R,positive,Z21
641,IGF1R_T,IGF1R,positive,Z21
642,FOXO3,IGF1R_2,positive,Z21
643,HER2,IGF1R_2,positive,Z21
644,IGF1R,IGF1R_2,positive,Z21
645,IGF1R_T_2,IGF1R_2,positive,Z21
646,S6K,IGF1R_2,negative,Z21
647,IGF1R_T,IGF1R_T,positive,Z21
648,IGF1R_T_2,IGF1R_T,positive,Z21
649,IGF1R_T,IGF1R_T_2,positive,Z21
650,IGF1R_T_2,IGF1R_T_2,positive,Z21
651,AKT,KMT2D,negative,Z21
652,MAPK_2,MAPK,positive,Z21
653,PIP3,MAPK,positive,Z21
654,PIP3_2,MAPK,positive,Z21
655,RAS,MAPK,positive,Z21
656,RAS_2,MAPK,positive,Z21
657,RAS_3,MAPK,positive,Z21
658,Trametinib,MAPK,negative,Z21
659,MAPK,MAPK_2,positive,Z21
660,PIP3,MAPK_2,positive,Z21
661,PIP3_2,MAPK_2,positive,Z21
662,RAS_2,MAPK_2,positive,Z21
663,RAS_3,MAPK_2,positive,Z21
664,Trametinib,MAPK_2,negative,Z21
665,MCL1_T,MCL1,positive,Z21
666,S63845,MCL1,negative,Z21
667,ER_transcription,MYC,positive,Z21
668,MYC_2,MYC,positive,Z21
669,ER_transcription_2,MYC_2,positive,Z21
670,MYC,MYC_2,positive,Z21
671,MYC_T,MYC_2,positive,Z21
672,MYC,MYC_targets,positive,Z21
673,MYC_2,MYC_targets,positive,Z21
674,MYC_targets_2,MYC_targets,positive,Z21
675,Translation,MYC_targets,positive,Z21
676,MYC,MYC_targets_2,positive,Z21
677,MYC_2,MYC_targets_2,positive,Z21
678,MYC_targets,MYC_targets_2,positive,Z21
679,Translation,MYC_targets_2,positive,Z21
680,PIP3,PDK1_pm,positive,Z21
681,PIP3_2,PDK1_pm,positive,Z21
682,Alpelisib,PI3K,negative,Z21
683,HER2HER3c,PI3K,positive,Z21
684,HER2HER3c_2,PI3K,positive,Z21
685,IGF1R,PI3K,positive,Z21
686,IGF1R_2,PI3K,positive,Z21
687,PI3K_2,PI3K,positive,Z21
688,RAS,PI3K,positive,Z21
689,RAS_2,PI3K,positive,Z21
690,RAS_3,PI3K,positive,Z21
691,Alpelisib,PI3K_2,negative,Z21
692,HER2HER3c_2,PI3K_2,positive,Z21
693,PI3K,PI3K_2,positive,Z21
694,PI3K,PIP3,positive,Z21
695,PI3K_2,PIP3,positive,Z21
696,PIP3_2,PIP3,positive,Z21
697,PTEN,PIP3,negative,Z21
698,PTEN_2,PIP3,negative,Z21
699,PI3K_2,PIP3_2,positive,Z21
700,PIP3,PIP3_2,positive,Z21
701,PTEN_2,PIP3_2,negative,Z21
702,AKT,PRAS40,negative,Z21
703,PIM,PRAS40,negative,Z21
704,PTEN_2,PTEN,positive,Z21
705,PTEN_T,PTEN,positive,Z21
706,PTEN,PTEN_2,positive,Z21
707,PTEN_T_2,PTEN_2,positive,Z21
